"","TaxonUsageID","LETTERCODE","SHORTNAME","TaxonName","NATIVENAME","AuthorName","SYNONYM","TaxonConceptID"
"431",431,"PERSNEP","Persicaria nepalensis","Persicaria nepalensis",NA,"(Meisn.) H. Gross",FALSE,431
"50051",50051,"PERSNEP","Polygonum nepalense","Polygonum nepalense",NA,"Meisn.",TRUE,431
"433",433,"PERSSET","Persicaria setosula","Persicaria setosula",NA,"(A. Rich.) K. L. Wilson",FALSE,433
"50053",50053,"PERSSET","Polygonum setosulum","Polygonum setosulum",NA,"A. Rich.",TRUE,433
"434",434,"PHALARU","Phalaris arundinacea","Phalaris arundinacea",NA,"L.",FALSE,434
"436",436,"PHOEREC","Phoenix reclinata","Phoenix reclinata",NA,"Jacq.",FALSE,436
"441",441,"PHYSPER","Physalis peruviana","Physalis peruviana",NA,"L.",FALSE,441
"449",449,"PLANPAL","Plantago palmata","Plantago palmata",NA,"Hook. f.",FALSE,449
"451",451,"POA.SP","Poa species","Poa species",NA,"NA",FALSE,451
"452",452,"PODOFAL","Podocarpus falcatus","Podocarpus falcatus",NA,"(Thunb.) R. Br. ex Mirb.",FALSE,452
"453",453,"POLYSPH","Polygala sphenoptera","Polygala sphenoptera",NA,"Fresen.",FALSE,453
"458",458,"PORTOLE","Portulaca oleracea","Portulaca oleracea",NA,"L.",FALSE,458
"459",459,"PORTQUA","Portulaca quadrifida","Portulaca quadrifida",NA,"L.",FALSE,459
"463",463,"PSIAPUN","Psiadia punctulata","Psiadia punctulata",NA,"(DC.) Vatke",FALSE,463
"465",465,"PYCNUMB","Pycnostachys umbrosa","Pycnostachys umbrosa",NA,"(Vatke) Perkins",FALSE,465
"466",466,"PYCRNIG","Pycreus nigricans","Pycreus nigricans",NA,"(Steud.) C.B. Clarke",FALSE,466
"51096",51096,"PYCRNIG","Cyperus nigricans","Cyperus nigricans",NA,"Steud.",TRUE,466
"468",468,"RANUMUL","Ranunculus multifidus","Ranunculus multifidus",NA,"Forssk.",FALSE,468
"469",469,"RHUSP.P","Rhus pyroides v. pyroi","Rhus pyroides v. pyroides",NA,"Burch.",FALSE,469
"50054",50054,"RHUSP.P","Rhus vulgaris","Rhus vulgaris",NA,"Meikle",TRUE,469
"470",470,"RHYNMIN","Rhynchosia minima","Rhynchosia minima",NA,"(L.) DC.",FALSE,470
"471",471,"RHYNUSA","Rhynchosia usambarensi","Rhynchosia usambarensis",NA,"Taub.",FALSE,471
"473",473,"RICICOM","Ricinus communis","Ricinus communis",NA,"L.",FALSE,473
"481",481,"RUBUKEN","Rubus keniensis","Rubus keniensis",NA,"Standl.",FALSE,481
"482",482,"RUBUSTE","Rubus steudneri","Rubus steudneri",NA,"Schweinf.",FALSE,482
"483",483,"RUMEABY","Rumex abyssinicus","Rumex abyssinicus",NA,"Jacq.",FALSE,483
"484",484,"RUMENEP","Rumex nepalensis","Rumex nepalensis",NA,"Spreng.",FALSE,484
"50057",50057,"RUMENEP","Rumex bequaertii","Rumex bequaertii",NA,"Wild.",TRUE,484
"488",488,"SCABCOL","Scabiosa columbaria","Scabiosa columbaria",NA,"L.",FALSE,488
"489",489,"SCHKPIN","Schkuhria pinnata","Schkuhria pinnata",NA,"(Lam.) Thell.",FALSE,489
"491",491,"SCHO.SP","Schoenoplectus species","Schoenoplectus species",NA,"NA",FALSE,491
"493",493,"SENEPIC","Senecio picridifolius","Senecio picridifolius",NA,"DC.",FALSE,493
"50058",50058,"SENEPIC","Crassocephalum picridi","Crassocephalum picridifolium",NA,"(DC.) S.Moore",TRUE,493
"494",494,"SENE.SP","Senecio species","Senecio species",NA,"NA",FALSE,494
"495",495,"SERIHIL","Sericocomopsis hildebr","Sericocomopsis hildebrandtii",NA,"Schinz",FALSE,495
"500",500,"SETAMEG","Setaria megaphylla","Setaria megaphylla",NA,"(Steud.) T. Durand & Schinz",FALSE,500
"501",501,"SETASPH","Setaria sphacelata","Setaria sphacelata",NA,"(Schumach.) Stapf & C.E. Hubb.",FALSE,501
"502",502,"SETAVER","Setaria verticillata","Setaria verticillata",NA,"(L.) P. Beauv.",FALSE,502
"506",506,"SIDAOVA","Sida ovata","Sida ovata",NA,"Forssk.",FALSE,506
"510",510,"SOLAANG","Solanum anguivi","Solanum anguivi",NA,"Lam.",FALSE,510
"511",511,"SOLAINC","Solanum incanum","Solanum incanum",NA,"L.",FALSE,511
"513",513,"SOLANIG","Solanum nigrum","Solanum nigrum",NA,"L.",FALSE,513
"517",517,"SONC.SP","Sonchus species","Sonchus species",NA,"NA",FALSE,517
"529",529,"SPHAUKA","Sphaeranthus ukambensi","Sphaeranthus ukambensis",NA,"Vatke & O. Hoffm.",FALSE,529
"532",532,"SPORAFR","Sporobolus africanus","Sporobolus africanus",NA,"(Poir.) Robyns & Tournay",FALSE,532
"535",535,"SPORPYR","Sporobolus pyramidalis","Sporobolus pyramidalis",NA,"P. Beauv.",FALSE,535
"538",538,"STELSEN","Stellaria sennii","Stellaria sennii",NA,"Chiov.",FALSE,538
"540",540,"SWERKIL","Swertia kilimandschari","Swertia kilimandscharica",NA,"Engl.",FALSE,540
"541",541,"SWER.SP","Swertia species","Swertia species",NA,"NA",FALSE,541
"52146",52146,"SWER.SP","Swertia cf. mannii","Swertia cf. mannii",NA,"Hook. f.",TRUE,541
"543",543,"TAGEMIN","Tagetes minuta","Tagetes minuta",NA,"L.",FALSE,543
"544",544,"TALICAF","Talinum caffrum","Talinum caffrum",NA,"(Thunb.) Eckl. & Zeyh.",FALSE,544
"546",546,"TALITEN","Talinum tenuissimum","Talinum tenuissimum",NA,"Dinter",FALSE,546
"51365",51365,"TALITEN","Talinum crispatulatum","Talinum crispatulatum",NA,"Hedw.",TRUE,546
"549",549,"TETRCEN","Tetrapogon cenchriform","Tetrapogon cenchriformis",NA,"(A. Rich.) Clayton",FALSE,549
"550",550,"THEMTRI","Themeda triandra","Themeda triandra",NA,"Forssk.",FALSE,550
"554",554,"TRIBCIS","Tribulus cistoides","Tribulus cistoides",NA,"L.",FALSE,554
"555",555,"TRIBTER","Tribulus terrestris","Tribulus terrestris",NA,"L.",FALSE,555
"558",558,"TRIFBUR","Trifolium burchellianu","Trifolium burchellianum",NA,"Ser.",FALSE,558
"560",560,"TRIFCRY","Trifolium cryptopodium","Trifolium cryptopodium",NA,"Steud. ex A. Rich.",FALSE,560
"565",565,"TRIFSEM","Trifolium semipilosum","Trifolium semipilosum",NA,"Fresen.",FALSE,565
"566",566,"TRIF.SP","Trifolium species","Trifolium species",NA,"NA",FALSE,566
"568",568,"TRIUFLA","Triumfetta flavescens","Triumfetta flavescens",NA,"Hochst. ex A. Rich.",FALSE,568
"578",578,"URTIMAS","Urtica massaica","Urtica massaica",NA,"Mildbr.",FALSE,578
"585",585,"VERNBRA","Vernonia brachycalyx","Vernonia brachycalyx",NA,"O. Hoffm.",FALSE,585
"591",591,"VERN.SP","Vernonia species","Vernonia species",NA,"NA",FALSE,591
"52174",52174,"VERN.SP","Vernonia cf. purpurea","Vernonia cf. purpurea",NA,"Sch. Bip.",TRUE,591
"595",595,"VIGNPAR","Vigna parkeri","Vigna parkeri",NA,"Baker",FALSE,595
"603",603,"ZEHNSCA","Zehneria scabra","Zehneria scabra",NA,"(L. f.) Sond.",FALSE,603
"50082",50082,"DIGEMUR","Digera muricata","Digera muricata",NA,"(L.) Mart.",FALSE,50082
"50085",50085,"DIPCVIR","Dipcadi viride","Dipcadi viride",NA,"(L.) Moench",FALSE,50085
"50086",50086,"ANTHSEP","Anthericopsis sepalosa","Anthericopsis sepalosa",NA,"(C.B. Clarke) Engl.",FALSE,50086
"50095",50095,"SPORAGR","Sporobolus agrostoides","Sporobolus agrostoides",NA,"Chiov.",FALSE,50095
"51537",51537,"SPORAGR","Sporobolus filipes","Sporobolus filipes",NA,"Stapf ex Napper",TRUE,50095
"50102",50102,"SPORSPI","Sporobolus spicatus","Sporobolus spicatus",NA,"(Vahl) Kunth",FALSE,50102
"50117",50117,"CYPEDIC","Cyperus dichrostachyus","Cyperus dichrostachyus",NA,"Hochst. ex A. Rich.",FALSE,50117
"50128",50128,"SETAPUM","Setaria pumila","Setaria pumila",NA,"(Poir.) Roem. & Schult.",FALSE,50128
"50129",50129,"CENCCLA","Cenchrus clandestinus","Cenchrus clandestinus",NA,"(Hochst. ex Chiov.) Morrone",FALSE,50129
